year	month	day	ff (> 2sd)	pp (> 3sd) 	T_BCAA	T_FREI	T_KOREA
1998	11	16	18.75	10	-0.55	-0.83	0.00
1998	11	17	21.50		-0.43	-1.10	-0.48
1998	11	18	23.25		-0.85	-1.10	-0.50
1999	2	11	19.75	10	1.43	0.90	2.38
1999	2	12	26.50		2.77	1.95	2.98
1999	2	13	21.50		2.08	1.10	2.10
1999	2	19	21.50		1.00	0.55	0.90
1999	2	20	23.25		0.45	-0.23	0.20
1999	2	21	22.33	11.7	0.53	0.23	1.13
1999	11	12	15.75	3.2	0.575	-0.150	1.275
1999	11	13	22	3.0	1.375	0.875	2.550
1999	11	14	12.75	19.2	0.825	0.525	1.825
1999	11	15	21.00		-0.45	-0.58	-0.13
1999	11	16	27.75	19.2	0.30	0.20	0.70
1999	11	17	31.25		1.28	0.98	1.35
1999	11	18	25.75		1.30	1.00	1.25
1999	11	19	23.00		1.28	1.00	1.93
1999	11	20	25.00		0.70	0.30	0.65
2004	11	30	24.75	15.4	1.08	0.58	1.58
2004	12	01	24.50		3.20	1.98	2.88
2005	2	9	16.75	0.2	3.4	2.85	3.30
2005	2	10	16.5	5	3.37	2.90	4.00
2005	2	11	25.00	8.4	3.25	3.25	3.05
2005	2	12	30.75	13.6	3.07	3.20	2.50
2005	2	13	20.50		2.47	2.20	2.63
2005	2	14	29.75		2.13	2.28	2.00
2005	2	15	21.50		2.75	2.20	2.85
2005	2	16	28.25		2.10	2.08	2.08
2005	2	17	24.25		2.75	2.93	2.63
2005	2	18	31.25		2.40	2.25	1.88
2005	2	19	32.75		1.20	1.48	1.63
2005	2	20	23.00		1.95	1.83	1.93
2006	11	11	19.75	11.4	-0.20	-0.68	1.05
2006	11	12	21.75		0.95	0.45	1.73
2006	11	13	20.00		-1.15	-1.48	-1.05
2006	11	14	19.00		-0.27	-0.88	-0.35
2006	11	15	28.25		-1.00	-1.58	-0.68
2006	11	16	26.00		-3.40	-3.20	-3.10
