Timestamp	 WS(m/s)	 WDv(deg)	 Ta(C)	 RH(%)	 Prs(hPa)	 Prcp(mm)	 Snow(cm)	 Rsw(W/m2)
1996-01-01	4.4	337.5	3.3	91.0	987.0	6.7	0.0	92.9
1996-01-02	8.9	312.4	1.5	91.4	985.8	4.5	0.0	113.0
1996-01-03	6.3	330.7	2.1	90.1	991.0	0.0	0.0	239.6
1996-01-04	6.7	4.1	4.1	88.3	991.1	0.0	0.0	256.1
1996-01-05	3.4	95.2	4.1	87.3	981.8	0.0	0.0	86.1
1996-01-06	6.1	106.2	1.2	90.9	982.3	1.4	0.0	127.7
1996-01-07	4.8	84.0	1.3	88.0	990.3	0.0	0.0	186.6
1996-01-08	3.6	10.8	2.2	82.8	992.2	0.0	0.0	339.2
1996-01-09	8.4	97.7	1.5	88.8	982.7	5.3	3.0	148.7
1996-01-10	11.6	111.6	-0.4	89.7	988.2	7.2	5.0	199.4
1996-01-11	5.3	133.0	1.2	77.9	995.7	0.0	0.0	312.1
1996-01-12	5.0	297.8	1.2	87.6	998.6	0.0	0.0	145.0
1996-01-13	4.0	93.3	2.1	88.2	996.0	0.0	0.0	217.6
1996-01-14	4.8	268.3	1.4	84.1	999.7	0.0	0.0	163.1
1996-01-15	12.0	355.5	1.9	90.0	992.6	6.0	0.0	165.4
1996-01-16	9.4	316.6	2.8	89.2	981.9	0.0	0.0	85.4
1996-01-17	10.2	339.7	2.2	90.9	991.3	11.3	0.0	93.7
1996-01-18	11.5	302.5	2.4	90.3	982.6	6.0	0.0	157.6
1996-01-19	9.4	325.3	2.2	90.7	989.2	13.1	0.0	99.2
1996-01-20	9.8	324.7	2.6	93.0	979.8	2.3	0.0	101.4
1996-01-21	8.1	311.7	2.5	90.0	988.2	0.0	0.0	219.4
1996-01-22	6.5	337.6	1.7	88.0	986.6	0.0	0.0	201.7
1996-01-23	12.6	342.9	2.8	91.0	971.9	6.5	0.0	129.8
