Fecha	Hora	Precipitacion	Traza
23/2/1999	0	0.2	0
23/2/1999	6	11.5	0
23/2/1999	12	0	0
23/2/1999	18	0	0
24/2/1999	0	0	0
24/2/1999	6	0	0
24/2/1999	12	0	0
24/2/1999	18	3.2	0
25/2/1999	0	3.5	0
25/2/1999	6	0	0
25/2/1999	12	0	0
25/2/1999	18	1.3	0
18/3/1999	0	0	1
18/3/1999	6	0.8	0
18/3/1999	12	0	0
18/3/1999	18	0.2	0
19/3/1999	0	0	0
19/3/1999	6	0	0
19/3/1999	12	0.3	0
19/3/1999	18	1.5	0
20/3/1999	0	0	0
20/3/1999	6	0	0
20/3/1999	12	0	0
20/3/1999	18	0.1	0
21/3/1999	0	0.5	0
21/3/1999	6	3	0
21/3/1999	12	1	0
21/3/1999	18	0.2	0
10/4/1999	0	7.2	0
10/4/1999	6	7	0
10/4/1999	12	0.2	0
10/4/1999	18	0	0
11/4/1999	0	0.3	0
11/4/1999	6	0	0
11/4/1999	12	0	1
11/4/1999	18	2	0
12/4/1999	0	0.5	0
12/4/1999	6	0.8	0
12/4/1999	12	0	0
12/4/1999	18	0.7	0
13/4/1999	0	0.3	0
13/4/1999	6	2	0
13/4/1999	12	0.3	0
13/4/1999	18	0	1
27/4/1999	0	0	0
27/4/1999	6	0	1
27/4/1999	12	0	0
27/4/1999	18	0	0
28/4/1999	0	0	0
28/4/1999	6	0	1
28/4/1999	12	3	0
28/4/1999	18	7	0
29/4/1999	0	0	0
29/4/1999	6	0	0
29/4/1999	12	0.3	0
29/4/1999	18	0	0
30/4/1999	0	0	0
30/4/1999	6	0	0
30/4/1999	12	0	1
30/4/1999	18	0	1
1/5/1999	0	0.3	0
1/5/1999	6	1	0
1/5/1999	12	2	0
1/5/1999	18	0.2	0
20/5/1999	0	0	1
20/5/1999	6	0	1
20/5/1999	12	0.3	0
20/5/1999	18	1.2	0
21/5/1999	0	2.5	0
21/5/1999	6	0	0
21/5/1999	12	0	0
21/5/1999	18	0.3	0
22/5/1999	0	0.2	0
22/5/1999	6	0	0
22/5/1999	12	0	1
22/5/1999	18	0	1
9/6/1999	0	0	0
9/6/1999	6	5.5	0
9/6/1999	12	0.2	0
9/6/1999	18	0	1
10/6/1999	0	0	1
10/6/1999	6	0	1
10/6/1999	12	0	0
10/6/1999	18	0	0
11/6/1999	0	0	0
11/6/1999	6	0	1
11/6/1999	12	0	1
11/6/1999	18	0	1
12/6/1999	0	0	1
12/6/1999	6	0	1
12/6/1999	12	0	1
12/6/1999	18	0	1
13/6/1999	0	1	0
13/6/1999	6	0	1
13/6/1999	12	2.7	0
13/6/1999	18	1	0
8/7/1999	0	0	1
8/7/1999	6	0	0
