Dia	Mes	Año	Hora	BCAA_T	FREI_T	KOREA_T
23	2	1999	0	4.4	4.3	5.5
23	2	1999	6	3.3	2.2	3.2
23	2	1999	12	3.3	2.1	3.6
23	2	1999	18	5	2.9	3.6
24	2	1999	0	2.8	2.5	2.6
24	2	1999	6	2.8	2.3	2.8
24	2	1999	12	3.85	2.7	5
24	2	1999	18	3.8	2.8	4.8
25	2	1999	0	3.9	3	5.9
25	2	1999	6	3.3	2.1	2.4
25	2	1999	12	2.8	2	3.5
25	2	1999	18	2.8	1.6	3
18	3	1999	0	3.9	2.9	3.1
18	3	1999	6	3.3	2.7	3.2
18	3	1999	12	3.3	2.2	2.7
18	3	1999	18	5	2.5	4.6
19	3	1999	0	3.05	2.1	4
19	3	1999	6	3	2.3	3.7
19	3	1999	12	3.05	2.3	3.8
19	3	1999	18	2.8	2.1	3.5
20	3	1999	0	2.8	1.9	3.2
20	3	1999	6	2.8	2.5	3.7
20	3	1999	12	3.3	2.5	2.9
20	3	1999	18	4.4	3.6	5.5
21	3	1999	0	3.3	3.1	4.3
21	3	1999	6	2.8	1.4	2.4
21	3	1999	12	2.2	1.6	2.1
21	3	1999	18	2.2	1.3	1.7
10	4	1999	0	2.8	2	3.5
10	4	1999	6	3.3	2.4	2.9
10	4	1999	12	2.8	2.3	2.5
10	4	1999	18	2.8	1.9	2.3
11	4	1999	0	1.7	0.9	1.3
11	4	1999	6	1.1	0.6	1
11	4	1999	12	0.6	-0.8	2
11	4	1999	18	3.3	1.8	3.8
12	4	1999	0	2.2	1.6	2.7
12	4	1999	6	3.3	1.9	3.8
12	4	1999	12	2.8	1.6	2.8
12	4	1999	18	2.2	1.4	1.9
13	4	1999	0	1.7	0.8	1.4
13	4	1999	6	2.2	2	1.3
13	4	1999	12	1.7	0.8	1.5
13	4	1999	18	1.7	1	1.6
27	4	1999	0	3.3	1.6	3.2
27	4	1999	6	2.15	2	2.3
27	4	1999	12	1.6	1.2	2
27	4	1999	18	2.2	1.6	2
28	4	1999	0	2.2	1.6	2
28	4	1999	6	2.2	1.4	1.9
28	4	1999	12	1.7	1.1	1.9
28	4	1999	18	1.1	0.6	1.2
29	4	1999	0	1.1	0.8	1.3
29	4	1999	6	1.7	1	1.5
29	4	1999	12	1.7	0.7	1.4
29	4	1999	18	1.1	0.7	1.3
30	4	1999	0	1.15	0.7	1.6
30	4	1999	6	2.5	1.7	3.3
30	4	1999	12	1.1	0.2	1.1
30	4	1999	18	1.7	1	2.8
1	5	1999	0	2.8	1.6	3.8
1	5	1999	6	1.7	1.1	3.3
1	5	1999	12	2.2	0.9	2.5
1	5	1999	18	2.2	0.7	3.2
20	5	1999	0	1.7	1.1	2.5
20	5	1999	6	1.7	1.1	2
20	5	1999	12	1.7	1	2.7
20	5	1999	18	1.7	1.4	2.5
21	5	1999	0	1.7	0.7	2.3
21	5	1999	6	0	0	0.6
21	5	1999	12	1.1	0.2	2.3
21	5	1999	18	1.7	0.7	2.9
22	5	1999	0	0.6	-0.3	0.3
22	5	1999	6	-0.6	-0.6	0
22	5	1999	12	1.1	0.6	0.4
22	5	1999	18	1.1	0.2	2.7
