Fecha	Hora	dd	ff
23/2/1999	0	30	22
23/2/1999	6	320	18
23/2/1999	12	320	16
23/2/1999	18	300	22
24/2/1999	0	300	22
24/2/1999	6	310	22
24/2/1999	12	350	30
24/2/1999	18	360	21
25/2/1999	0	10	23
25/2/1999	6	280	25
25/2/1999	12	350	13
25/2/1999	18	330	6
18/3/1999	0	300	32
18/3/1999	6	290	30
18/3/1999	12	290	24
18/3/1999	18	310	18
19/3/1999	0	360	23
19/3/1999	6	330	26
19/3/1999	12	340	28
19/3/1999	18	310	18
20/3/1999	0	340	14
20/3/1999	6	360	14
20/3/1999	12	20	6
20/3/1999	18	20	4
21/3/1999	0	20	25
21/3/1999	6	330	20
21/3/1999	12	320	27
21/3/1999	18	300	12
10/4/1999	0	330	29
10/4/1999	6	280	32
10/4/1999	12	270	37
10/4/1999	18	250	41
11/4/1999	0	240	32
11/4/1999	6	250	16
11/4/1999	12	350	20
11/4/1999	18	320	19
12/4/1999	0	340	14
12/4/1999	6	340	19
12/4/1999	12	340	16
12/4/1999	18	290	22
13/4/1999	0	320	15
13/4/1999	6	300	29
13/4/1999	12	300	40
13/4/1999	18	280	26
27/4/1999	0	340	20
27/4/1999	6	300	25
27/4/1999	12	290	16
27/4/1999	18	280	24
28/4/1999	0	290	27
28/4/1999	6	300	27
28/4/1999	12	300	16
28/4/1999	18	250	17
29/4/1999	0	250	31
29/4/1999	6	250	20
29/4/1999	12	240	23
29/4/1999	18	270	20
30/4/1999	0	330	7
30/4/1999	6	350	19
30/4/1999	12	350	22
30/4/1999	18	20	28
1/5/1999	0	360	26
1/5/1999	6	10	28
1/5/1999	12	340	19
1/5/1999	18	350	17
20/05/1999	0	340	27
20/05/1999	6	330	22
20/05/1999	12	340	26
20/05/1999	18	350	28
21/05/1999	0	330	20
21/05/1999	6	290	15
21/05/1999	12	350	17
21/05/1999	18	350	14
22/05/1999	0	280	12
22/05/1999	6	320	7
22/05/1999	12	20	8
22/05/1999	18	350	16
9/06/1999	0	320	20
9/06/1999	6	320	30
9/06/1999	12	320	22
9/06/1999	18	290	18
10/06/1999	0	300	27
10/06/1999	6	290	25
10/06/1999	12	260	28
